date,admission_revenue,is_weekday,is_holiday,receipt_rows,distinct_receipts,first_receipt_hour,last_receipt_hour,actual_tickets,temperature_high,temperature_low,average_temperature,precipitation,precipitation_reported,weather_condition,wind_speed,humidity,weather_hour_count,year,month_number,month_name,week_of_year,day_of_month,day_of_week,day_of_week_number,is_weekend,season,days_since_season_open,days_until_season_close,precipitation_indicator,temperature_band,seven_day_rolling_average,prior_operating_day_attendance,attendance_change_from_prior_day,attendance_percent_change_from_prior_day,attendance_category,operating_status
2018-05-19,1559.0,0,False,50,50,12,17,194,76.95,61.32,70.18222222222222,0.0,False,sky is clear,16.24,49.888888888888886,9.0,2018,5,May,20,19,Saturday,6,True,Early season,3,104,False,75 to 84,194.0,,,,Typical,Observed operating date
2018-05-20,2026.0,0,False,61,61,12,15,253,71.96,60.75,66.87333333333333,0.0,False,overcast clouds,14.9,50.333333333333336,9.0,2018,5,May,20,20,Sunday,7,True,Early season,4,103,False,Below 75,223.5,194.0,59.0,30.41237113402062,High,Observed operating date
2018-05-21,183.24,1,False,3,3,16,17,30,80.35,67.39,73.74777777777778,0.0,False,sky is clear,14.41,46.888888888888886,9.0,2018,5,May,21,21,Monday,1,False,Early season,5,102,False,75 to 84,159.0,253.0,-223.0,-88.14229249011858,Low,Observed operating date
2018-05-22,97.88,1,False,2,2,17,17,16,77.49,63.36,71.16000000000001,0.0,False,few clouds,14.09,53.888888888888886,9.0,2018,5,May,21,22,Tuesday,2,False,Early season,6,101,False,75 to 84,123.25,30.0,-14.0,-46.666666666666664,Low,Observed operating date
2018-05-23,69.0,1,False,1,1,15,15,11,75.06,62.44,69.3288888888889,0.0,False,sky is clear,13.04,54.111111111111114,9.0,2018,5,May,21,23,Wednesday,3,False,Early season,7,100,False,75 to 84,100.8,16.0,-5.0,-31.25,Low,Observed operating date
2018-05-24,148.12,1,False,2,2,17,17,24,73.62,60.39,67.54666666666667,0.14,True,broken clouds,14.72,54.22222222222222,9.0,2018,5,May,21,24,Thursday,4,False,Early season,8,99,True,Below 75,88.0,11.0,13.0,118.18181818181816,Low,Observed operating date
2018-05-26,1209.0,0,False,43,43,12,16,151,73.9,62.78,69.47333333333333,0.0,False,overcast clouds,8.3,55.44444444444444,9.0,2018,5,May,21,26,Saturday,6,True,Early season,10,97,False,Below 75,97.0,24.0,127.0,529.1666666666667,Typical,Observed operating date
2018-05-27,5343.0,0,False,167,167,12,17,667,86.92,73.36,81.07333333333332,0.0,False,sky is clear,9.24,37.77777777777778,9.0,2018,5,May,21,27,Sunday,7,True,Early season,11,96,False,85 to 94,164.57142857142858,151.0,516.0,341.7218543046357,Very High,Observed operating date
2018-05-28,6906.0,1,True,226,226,12,17,1151,97.43,80.01,89.68555555555555,0.0,False,sky is clear,7.87,28.555555555555557,9.0,2018,5,May,22,28,Monday,1,False,Early season,12,95,False,95 and above,292.85714285714283,667.0,484.0,72.56371814092955,Very High,Observed operating date
2018-05-29,120.24,1,False,4,4,16,17,20,96.73,80.15,89.33555555555556,0.0,False,sky is clear,12.64,31.666666666666668,9.0,2018,5,May,22,29,Tuesday,2,False,Early season,13,94,False,95 and above,291.42857142857144,1151.0,-1131.0,-98.26238053866203,Low,Observed operating date
