group_dimension,group_name,observation_count,average_attendance,median_attendance,minimum_attendance,maximum_attendance,standard_deviation,small_sample_flag
day_of_week,Friday,43,220.72093023255815,225.0,50,821,144.3212893217595,False
day_of_week,Monday,54,212.11111111111111,189.0,0,1151,198.09571411235916,False
day_of_week,Saturday,87,394.1954022988506,390.0,13,942,193.58609881144343,False
day_of_week,Sunday,83,401.27710843373495,378.0,6,1107,222.56571039851448,False
day_of_week,Thursday,52,174.82692307692307,139.5,0,1152,213.8267322338297,False
day_of_week,Tuesday,53,156.47169811320754,178.0,1,403,109.27991647662382,False
day_of_week,Wednesday,44,193.9318181818182,177.0,1,836,144.12646219065422,False
month,August,67,202.49253731343285,197.0,0,718,172.65795343064403,False
month,July,164,284.2073170731707,224.5,1,1152,201.28261959808384,False
month,June,143,312.1048951048951,251.0,11,1107,219.46021209818207,False
month,May,42,229.88095238095238,174.0,0,1151,246.0319434327883,False
weekend_status,False,246,190.4959349593496,178.5,0,1152,168.30241847650512,False
weekend_status,True,170,397.65294117647056,384.5,6,1107,207.64872083277484,False
holiday_status,False,400,264.1825,223.5,0,1107,196.33560136832455,False
holiday_status,True,16,549.375,446.5,91,1152,356.74563767480043,False
temperature_range,Below 75,11,92.72727272727273,40.0,0,295,104.56585571695085,False
temperature_range,75 to 84,83,224.66265060240963,184.0,0,836,182.99075527151595,False
temperature_range,85 to 94,179,260.44692737430165,224.0,1,1068,181.8711150912945,False
temperature_range,95 and above,141,338.78014184397165,306.0,0,1152,247.17249882271582,False
temperature_range,Missing,2,204.0,204.0,50,358,217.78888860545663,True
precipitation_status,False,405,279.3037037037037,230.0,0,1152,211.20535525930444,False
precipitation_status,True,11,122.27272727272727,31.0,6,525,159.76550998828935,False
attendance_category,Low,104,55.60576923076923,54.0,0,126,37.392802970165874,False
attendance_category,Typical,104,182.01923076923077,185.0,127,225,29.941360414654,False
attendance_category,High,104,295.0769230769231,289.5,227,381,43.103779103054286,False
attendance_category,Very High,104,567.9038461538462,510.5,382,1152,177.461141335484,False
